Sample	Species	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
EC3738	Escherichia coli		NODE_3_length_316339_cov_26.392613	69315	71570	-	parC_S80I	Escherichia quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	752	752	100.0	99.87	752	WP_001281881.1	DNA topoisomerase IV subunit A ParC		
EC3738	Escherichia coli		NODE_3_length_316339_cov_26.392613	79142	81031	-	parE_S458A	Escherichia quinolone resistant ParE	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	630	630	100.0	99.68	630	WP_033554192.1	DNA topoisomerase IV subunit B ParE		
EC3738	Escherichia coli		NODE_3_length_316339_cov_26.392613	307469	310570	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.0	99.42	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF		
EC3738	Escherichia coli		NODE_53_length_23967_cov_18.788926	244	1386	+	blaCMY-42	class C extended-spectrum beta-lactamase CMY-42	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.0	100.0	381	WP_039023136.1	class C extended-spectrum beta-lactamase CMY-42		
EC3738	Escherichia coli		NODE_5_length_228913_cov_25.151141	202090	203508	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE			BLASTX	473	473	100.0	90.7	473	ADD54679.1	type III secretion system effector EspX1		
EC3738	Escherichia coli		NODE_76_length_9152_cov_52.978837	367	861	+	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.0	100.0	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12		
EC3738	Escherichia coli		NODE_76_length_9152_cov_52.978837	1272	2060	+	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206356.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2		
EC3738	Escherichia coli		NODE_76_length_9152_cov_52.978837	2227	2571	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
EC3738	Escherichia coli		NODE_76_length_9152_cov_52.978837	2568	3404	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
EC3738	Escherichia coli		NODE_76_length_9152_cov_52.978837	7354	7716	-	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.0	100.0	121	WP_004201167.1	bleomycin binding protein Ble-MBL		
EC3738	Escherichia coli		NODE_76_length_9152_cov_52.978837	7723	8532	-	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_063860861.1	subclass B1 metallo-beta-lactamase NDM-4		
EC3738	Escherichia coli		NODE_83_length_6824_cov_22.466627	4205	5407	+	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	401	401	100.0	100.0	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)		
EC3738	Escherichia coli		NODE_86_length_5334_cov_37.339351	144	614	+	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_004201280.1	trimethoprim-resistant dihydrofolate reductase DfrA14		
EC3738	Escherichia coli		NODE_91_length_4319_cov_36.331345	419	1153	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	245	245	100.0	99.59	245	WP_002321849.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)		
EC3738	Escherichia coli		NODE_91_length_4319_cov_36.331345	419	1153	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	245	245	100.0	99.59	245	WP_063844619.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)		
EC3738	Escherichia coli		NODE_92_length_3633_cov_55.469196	1175	1927	-	rmtB1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	ALLELEX	251	251	100.0	100.0	251	WP_012372818.1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1		
EC3738	Escherichia coli		NODE_92_length_3633_cov_55.469196	2100	2957	-	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
EC3738	Escherichia coli		NODE_95_length_3494_cov_37.875854	2397	3299	-	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	301	301	100.0	100.0	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase		
EC3738	Escherichia coli		NODE_97_length_3102_cov_21.988235	324	1181	-	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	286	286	100.0	100.0	286	WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId		
EC3738	Escherichia coli		NODE_98_length_2959_cov_38.443150	461	1090	-	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	210	210	100.0	100.0	210	WP_000186237.1	type B-3 chloramphenicol O-acetyltransferase CatB3		
EC3738	Escherichia coli		NODE_98_length_2959_cov_38.443150	1231	2058	-	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.0	100.0	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1		
EC3738	Escherichia coli		NODE_98_length_2959_cov_38.443150	2192	2743	-	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE	ALLELEX	184	184	100.0	100.0	184	WP_063840321.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5		
EC3767	Escherichia coli		NODE_1006_length_1656_cov_37.952910	648	1505	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
EC3767	Escherichia coli		NODE_1136_length_1332_cov_25.026556	367	1155	+	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206356.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2		
EC3767	Escherichia coli		NODE_1391_length_900_cov_37.395860	137	898	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	254	278	91.37	100.0	254	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
EC3767	Escherichia coli		NODE_1448_length_793_cov_23.235736	128	622	+	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.0	100.0	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12		
EC3767	Escherichia coli		NODE_182_length_6939_cov_27.501174	3330	4748	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE			BLASTX	473	473	100.0	91.75	473	ADD54679.1	type III secretion system effector EspX1		
EC3767	Escherichia coli		NODE_232_length_6148_cov_16.200797	1155	1808	+	qnrS1	quinolone resistance pentapeptide repeat protein QnrS1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	218	218	100.0	100.0	218	WP_001516695.1	quinolone resistance pentapeptide repeat protein QnrS1		
EC3767	Escherichia coli		NODE_267_length_5657_cov_25.593309	30	143	-	astA	heat-stable enterotoxin EAST1	plus	VIRULENCE	VIRULENCE			EXACTX	38	38	100.0	100.0	38	AAD43578.1	heat-stable enterotoxin EAST1		
EC3767	Escherichia coli		NODE_294_length_5483_cov_19.107916	1752	2546	-	blaOXA-181	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-181	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	265	265	100.0	100.0	265	WP_015060052.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-181		
EC3767	Escherichia coli		NODE_308_length_5289_cov_24.043781	527	1756	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	410	410	100.0	97.8	410	AAC77293.1	multidrug efflux MFS transporter MdtM		
EC3767	Escherichia coli		NODE_311_length_5258_cov_16.396024	3873	5015	-	blaCMY-42	class C extended-spectrum beta-lactamase CMY-42	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.0	100.0	381	WP_039023136.1	class C extended-spectrum beta-lactamase CMY-42		
EC3767	Escherichia coli		NODE_399_length_4379_cov_17.264817	195	1097	+	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	301	301	100.0	100.0	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase		
EC3767	Escherichia coli		NODE_455_length_3983_cov_16.250519	367	1224	+	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	286	286	100.0	100.0	286	WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId		
EC3767	Escherichia coli		NODE_572_length_3192_cov_26.957586	394	1206	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043265.1	sulfonamide-resistant dihydropteroate synthase Sul2		
EC3767	Escherichia coli		NODE_57_length_10991_cov_18.698085	5864	6127	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID			EXACTX	88	88	100.0	100.0	88	AAC74250.1	biofilm/acid-resistance regulator AriR		
EC3767	Escherichia coli		NODE_601_length_3066_cov_15.006465	2282	2938	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.0	100.0	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase		
EC3767	Escherichia coli		NODE_609_length_3045_cov_22.875600	347	2971	-	gyrA_D87N	Escherichia quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	875	878	99.66	98.97	875	WP_001281243.1	DNA gyrase subunit A GyrA		
EC3767	Escherichia coli		NODE_609_length_3045_cov_22.875600	347	2971	-	gyrA_S83L	Escherichia quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	875	878	99.66	98.97	875	WP_001281243.1	DNA gyrase subunit A GyrA		
EC3767	Escherichia coli		NODE_630_length_2961_cov_16.731828	461	1090	-	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	210	210	100.0	100.0	210	WP_000186237.1	type B-3 chloramphenicol O-acetyltransferase CatB3		
EC3767	Escherichia coli		NODE_630_length_2961_cov_16.731828	1231	2058	-	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.0	100.0	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1		
EC3767	Escherichia coli		NODE_630_length_2961_cov_16.731828	2192	2743	-	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE	ALLELEX	184	184	100.0	100.0	184	WP_063840321.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5		
EC3767	Escherichia coli		NODE_779_length_2273_cov_25.051724	1226	2098	-	blaCTX-M-15	class A extended-spectrum beta-lactamase CTX-M-15	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.0	100.0	291	WP_000239590.1	class A extended-spectrum beta-lactamase CTX-M-15		
EC3767	Escherichia coli		NODE_810_length_2167_cov_21.657843	85	429	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
EC3767	Escherichia coli		NODE_810_length_2167_cov_21.657843	638	1423	-	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	262	262	100.0	100.0	262	WP_000503573.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5		
EC3767	Escherichia coli		NODE_810_length_2167_cov_21.657843	1557	2027	-	dfrA17	trimethoprim-resistant dihydrofolate reductase DfrA17	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_001389366.1	trimethoprim-resistant dihydrofolate reductase DfrA17		
EC3767	Escherichia coli		NODE_921_length_1872_cov_16.955874	827	1189	-	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.0	100.0	121	WP_004201167.1	bleomycin binding protein Ble-MBL		
EC3767	Escherichia coli		NODE_92_length_8751_cov_24.984578	6695	7897	+	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	401	401	100.0	100.0	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)		
EC3789	Escherichia coli		NODE_17_length_94114_cov_27.976231	70906	73161	-	parC_S80I	Escherichia quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	752	752	100.0	99.73	752	WP_001281881.1	DNA topoisomerase IV subunit A ParC		
EC3789	Escherichia coli		NODE_17_length_94114_cov_27.976231	80695	82584	-	parE_S458A	Escherichia quinolone resistant ParE	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	630	630	100.0	99.68	630	WP_033554192.1	DNA topoisomerase IV subunit B ParE		
EC3789	Escherichia coli		NODE_18_length_89289_cov_27.700556	70194	71423	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	410	410	100.0	97.07	410	AAC77293.1	multidrug efflux MFS transporter MdtM		
EC3789	Escherichia coli		NODE_1_length_376896_cov_23.516188	250681	253305	-	gyrA_D87N	Escherichia quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	875	878	99.66	98.97	875	WP_001281243.1	DNA gyrase subunit A GyrA		
EC3789	Escherichia coli		NODE_1_length_376896_cov_23.516188	250681	253305	-	gyrA_S83L	Escherichia quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	875	878	99.66	98.97	875	WP_001281243.1	DNA gyrase subunit A GyrA		
EC3789	Escherichia coli		NODE_21_length_87434_cov_25.241928	18930	23177	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE			BLASTX	1416	1416	100.0	94.07	1416	ABE05822.1	intimin-like adhesin FdeC		
EC3789	Escherichia coli		NODE_25_length_69024_cov_20.764692	3338	5137	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.67	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ		
EC3789	Escherichia coli		NODE_25_length_69024_cov_20.764692	5127	6926	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.83	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP		
EC3789	Escherichia coli		NODE_3_length_310060_cov_28.971132	132483	133613	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.0	98.14	377	WP_063610930.1	class C extended-spectrum beta-lactamase EC-15		
EC3789	Escherichia coli		NODE_43_length_34106_cov_21.733276	14221	14484	-	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID			EXACTX	88	88	100.0	100.0	88	AAC74250.1	biofilm/acid-resistance regulator AriR		
EC3789	Escherichia coli		NODE_49_length_18411_cov_24.740374	14501	15697	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)		
EC3789	Escherichia coli		NODE_50_length_18378_cov_22.439428	4655	4993	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ97644.1	increased serum survival lipoprotein Iss		
EC3789	Escherichia coli		NODE_58_length_10115_cov_27.627753	1877	2962	+	capU	putative hexosyltransferase CapU	plus	VIRULENCE	VIRULENCE			BLASTX	362	362	100.0	99.72	362	CAV02025.1	putative hexosyltransferase CapU		
EC3789	Escherichia coli		NODE_60_length_9926_cov_24.702725	621	1430	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_023408309.1	subclass B1 metallo-beta-lactamase NDM-5		
EC3789	Escherichia coli		NODE_60_length_9926_cov_24.702725	1437	1799	+	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.0	100.0	121	WP_004201167.1	bleomycin binding protein Ble-MBL		
EC3789	Escherichia coli		NODE_60_length_9926_cov_24.702725	5749	6585	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
EC3789	Escherichia coli		NODE_60_length_9926_cov_24.702725	6582	6926	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
EC3789	Escherichia coli		NODE_60_length_9926_cov_24.702725	7093	7881	-	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206356.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2		
EC3789	Escherichia coli		NODE_60_length_9926_cov_24.702725	8292	8786	-	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.0	100.0	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12		
EC3789	Escherichia coli		NODE_62_length_9886_cov_28.111999	5685	8786	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	1034	1034	100.0	100.0	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF		
EC3789	Escherichia coli		NODE_66_length_8322_cov_24.319829	1313	2065	-	rmtB1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	ALLELEX	251	251	100.0	100.0	251	WP_012372818.1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1		
EC3789	Escherichia coli		NODE_66_length_8322_cov_24.319829	2238	3095	-	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
EC3789	Escherichia coli		NODE_66_length_8322_cov_24.319829	7225	8127	-	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	301	301	100.0	100.0	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase		
EC3789	Escherichia coli		NODE_6_length_210240_cov_28.528159	5373	6791	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE			BLASTX	473	473	100.0	92.18	473	ADD54679.1	type III secretion system effector EspX1		
EC3789	Escherichia coli		NODE_71_length_4308_cov_26.668500	2766	3638	-	blaCTX-M-15	class A extended-spectrum beta-lactamase CTX-M-15	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.0	100.0	291	WP_000239590.1	class A extended-spectrum beta-lactamase CTX-M-15		
EC3789	Escherichia coli		NODE_78_length_2439_cov_26.415225	219	770	+	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE	ALLELEX	184	184	100.0	100.0	184	WP_063840321.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5		
EC3789	Escherichia coli		NODE_78_length_2439_cov_26.415225	904	1731	+	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.0	100.0	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1		
EC3899	Escherichia coli		NODE_14_length_174508_cov_35.090979	30250	30819	+	lpfA	long polar fimbria major subunit LpfA-O113	plus	VIRULENCE	VIRULENCE			EXACTX	190	190	100.0	100.0	190	AAT76975.1	long polar fimbria major subunit LpfA-O113		
EC3899	Escherichia coli		NODE_15_length_128408_cov_31.711812	97507	99594	+	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE			EXACTX	696	696	100.0	100.0	696	AAN82058.1	bifunctional siderophore receptor/adhesin Iha		
EC3899	Escherichia coli		NODE_15_length_128408_cov_31.711812	121431	124502	-	hlyA-alpha	RTX toxin hemolysin HlyA	plus	VIRULENCE	VIRULENCE			BLASTX	1024	1024	100.0	97.27	1024	CAQ77251.1	RTX toxin hemolysin HlyA		
EC3899	Escherichia coli		NODE_1_length_442755_cov_30.714135	181954	182292	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ97644.1	increased serum survival lipoprotein Iss		
EC3899	Escherichia coli		NODE_1_length_442755_cov_30.714135	435249	439496	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE			BLASTX	1416	1416	100.0	94.14	1416	ABE05822.1	intimin-like adhesin FdeC		
EC3899	Escherichia coli		NODE_21_length_56412_cov_26.562370	41374	43173	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.67	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP		
EC3899	Escherichia coli		NODE_21_length_56412_cov_26.562370	43163	44962	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.67	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ		
EC3899	Escherichia coli		NODE_27_length_32364_cov_30.797376	390	1598	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	403	410	98.29	97.02	403	AAC77293.1	multidrug efflux MFS transporter MdtM		
EC3899	Escherichia coli		NODE_29_length_28522_cov_25.326114	7209	8930	+	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE			BLASTX	574	576	100.0	95.31	576	EGI25746.1	aerobactin synthase IucA		
EC3899	Escherichia coli		NODE_29_length_28522_cov_25.326114	8934	9878	+	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE			BLASTX	315	315	100.0	95.87	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB		
EC3899	Escherichia coli		NODE_29_length_28522_cov_25.326114	9881	11620	+	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE			BLASTX	580	580	100.0	97.59	580	AAN82073.1	NIS family aerobactin synthetase IucC		
EC3899	Escherichia coli		NODE_29_length_28522_cov_25.326114	11620	12894	+	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE			BLASTX	425	445	95.51	97.41	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD		
EC3899	Escherichia coli		NODE_38_length_10935_cov_23.465766	7957	10161	+	katP	catalase/peroxidase KatP	plus	VIRULENCE	VIRULENCE			BLASTX	735	736	100.0	98.51	736	BAA31832.1	catalase/peroxidase KatP		
EC3899	Escherichia coli		NODE_48_length_4348_cov_28.732765	1307	2449	-	blaCMY-2	class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.0	100.0	381	WP_000976514.1	class C beta-lactamase CMY-2		
EC3899	Escherichia coli		NODE_4_length_401404_cov_26.367357	29001	29825	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.0	100.0	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
EC3899	Escherichia coli		NODE_4_length_401404_cov_26.367357	29828	30661	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
